Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100
2,3,3,3,6,3,5,5,6,11,2,3,4,4,4,7,4,6,6,7,12,3,4,5,5,5,8,5,7,7,8,13,4,5,6,6,6,9,6,8,8,9,14,5,6,7,7,7,10,7,9,9,10,15,6,7,8,8,8,11,8,10,10,11,16,7,8,9,9,9,12,9,11,11,12,17,8,9,10,10,10,13,10,12,12,13,18,9,10,11,11,11,14,11,13,13,14,19,10,11
2,2,2,2,4,2,4,3,4,6,12,2,3,3,3,3,5,3,5,4,5,7,13,3,4,4,4,4,6,4,6,5,6,8,14,4,5,5,5,5,7,5,7,6,7,9,15,5,6,6,6,6,8,6,8,7,8,10,16,6,7,7,7,7,9,7,9,8,9,11,17,7,8,8,8,8,10,8,10,9,10,12,18,8,9,9,9,9,11,9,11,10,11,13,19,9,10,10,10,10
2,3,4,5,4,7,3,4,4,5,7,13,2,3,4,5,6,5,8,4,5,5,6,8,14,3,4,5,6,7,6,9,5,6,6,7,9,15,4,5,6,7,8,7,10,6,7,7,8,10,16,5,6,7,8,9,8,11,7,8,8,9,11,17,6,7,8,9,10,9,12,8,9,9,10,12,18,7,8,9,10,11,10,13,9,10,10,11,13,19,8,9,10,11,12,11,14,10,11,11
2,2,3,3,3,4,2,3,6,4,6,7,14,2,3,3,4,4,4,5,3,4,7,5,7,8,15,3,4,4,5,5,5,6,4,5,8,6,8,9,16,4,5,5,6,6,6,7,5,6,9,7,9,10,17,5,6,6,7,7,7,8,6,7,10,8,10,11,18,6,7,7,8,8,8,9,7,8,11,9,11,12,19,7,8,8,9,9,9,10,8,9,12,10,12,13,20,8,9,9
2,3,2,3,2,3,8,3,3,3,6,5,8,15,2,3,4,3,4,3,4,9,4,4,4,7,6,9,16,3,4,5,4,5,4,5,10,5,5,5,8,7,10,17,4,5,6,5,6,5,6,11,6,6,6,9,8,11,18,5,6,7,6,7,6,7,12,7,7,7,10,9,12,19,6,7,8,7,8,7,8,13,8,8,8,11,10,13,20,7,8,9,8,9,8,9,14,9,9,9
2,2,4,2,6,3,5,2,4,4,4,4,6,8,16,2,3,3,5,3,7,4,6,3,5,5,5,5,7,9,17,3,4,4,6,4,8,5,7,4,6,6,6,6,8,10,18,4,5,5,7,5,9,6,8,5,7,7,7,7,9,11,19,5,6,6,8,6,10,7,9,6,8,8,8,8,10,12,20,6,7,7,9,7,11,8,10,7,9,9,9,9,11,13,21,7,8,8,10,8
2,3,3,5,4,3,4,9,3,5,7,5,5,7,9,17,2,3,4,4,6,5,4,5,10,4,6,8,6,6,8,10,18,3,4,5,5,7,6,5,6,11,5,7,9,7,7,9,11,19,4,5,6,6,8,7,6,7,12,6,8,10,8,8,10,12,20,5,6,7,7,9,8,7,8,13,7,9,11,9,9,11,13,21,6,7,8,8,10,9,8,9,14,8,10,12,10,10,12,14
2,2,2,3,4,2,5,5,2,3,4,3,5,5,6,9,18,2,3,3,3,4,5,3,6,6,3,4,5,4,6,6,7,10,19,3,4,4,4,5,6,4,7,7,4,5,6,5,7,7,8,11,20,4,5,5,5,6,7,5,8,8,5,6,7,6,8,8,9,12,21,5,6,6,6,7,8,6,9,9,6,7,8,7,9,9,10,13,22,6,7,7,7,8,9,7,10,10,7,8
2,3,4,3,3,7,4,5,10,3,4,5,4,7,7,7,10,19,2,3,4,5,4,4,8,5,6,11,4,5,6,5,8,8,8,11,20,3,4,5,6,5,5,9,6,7,12,5,6,7,6,9,9,9,12,21,4,5,6,7,6,6,10,7,8,13,6,7,8,7,10,10,10,13,22,5,6,7,8,7,7,11,8,9,14,7,8,9,8,11,11,11,14,23,6,7,8,9,8,8
2,2,3,2,2,4,3,3,6,2,4,3,8,4,4,5,8,10,20,2,3,3,4,3,3,5,4,4,7,3,5,4,9,5,5,6,9,11,21,3,4,4,5,4,4,6,5,5,8,4,6,5,10,6,6,7,10,12,22,4,5,5,6,5,5,7,6,6,9,5,7,6,11,7,7,8,11,13,23,5,6,6,7,6,6,8,7,7,10,6,8,7,12,8,8,9,12,14,24,6
2,3,2,5,6,3,2,4,4,11,3,3,5,3,4,5,6,7,11,21,2,3,4,3,6,7,4,3,5,5,12,4,4,6,4,5,6,7,8,12,22,3,4,5,4,7,8,5,4,6,6,13,5,5,7,5,6,7,8,9,13,23,4,5,6,5,8,9,6,5,7,7,14,6,6,8,6,7,8,9,10,14,24,5,6,7,6,9,10,7,6,8,8,15,7,7,9,7,8,9
